,LotArea,MiscVal,2ndFlrSF,BsmtFinSF1,PoolArea,BsmtFinSF2,MasVnrArea,BsmtUnfSF,LowQualFinSF,GrLivArea,TotalBsmtSF,Unnamed: 0,Unnamed: 0.1,3SsnPorch,Id,ScreenPorch,WoodDeckSF,1stFlrSF,EnclosedPorch,GarageArea,OpenPorchSF,MSSubClass,LotFrontage,Condition2_RRAn,ExterCond_Po,SaleType_Con,SaleCondition_Alloca,Condition2_PosN,BsmtCond_Po,SaleType_New,NeighborhoodNridgHt,SaleCondition_Partial,LotShape_IR3,Heating_Wall,Foundation_Stone,Foundation_Slab,Exterior2ndCmentBd,Heating_Grav,Exterior1stCemntBd,HouseStyle_2.5Fin,NeighborhoodSomerst,MSZoning_FV,RoofMatl_WdShngl,SaleType_Oth,MasVnrType_Stone,GarageType_BuiltIn,RoofStyle_Gambrel,Condition2_RRNn,LandContour_HLS,GarageQual_Gd,BsmtExposure_Gd,KitchenQual_Fa,Exterior1stStucco,Exterior2ndStucco,Electrical_FuseP,MoSold,Exterior2ndBrkFace,RoofMatl_Membran,Electrical_Mix,GarageType_CarPort,Condition1_PosN,NeighborhoodCollgCr,HouseStyle_1.5Unf,Condition1_RRAn,LotConfig_CulDSac,BsmtCond_Gd,ExterCond_Fa,LotConfig_FR3,Functional_Mod,LandSlope_Mod,ExterQual_Gd,LandSlope_Sev,BsmtExposure_Mn,SaleType_CWD,NeighborhoodGilbert,LotConfig_FR2,HeatingQC_Fa,LotShape_IR2,NeighborhoodSawyerW,BsmtQual_Fa,SalePrice
0,8450,0,854,706,0,0,196.0,150,0,1710,856,0,0,0,1,0,0,856,0,548,61,60,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,208500
1,9600,0,0,978,0,0,0.0,284,0,1262,1262,1,1,0,2,0,298,1262,0,460,0,20,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,181500
2,11250,0,866,486,0,0,162.0,434,0,1786,920,2,2,0,3,0,0,920,0,608,42,60,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,223500
3,9550,0,756,216,0,0,0.0,540,0,1717,756,3,3,0,4,0,0,961,272,642,35,70,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000
4,14260,0,1053,655,0,0,350.0,490,0,2198,1145,4,4,0,5,0,192,1145,0,836,84,60,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,250000
5,14115,700,566,732,0,0,0.0,64,0,1362,796,5,5,320,6,0,40,796,0,480,30,50,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143000
6,10084,0,0,1369,0,0,186.0,317,0,1694,1686,6,6,0,7,0,255,1694,0,636,57,20,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,307000
7,10382,350,983,859,0,32,240.0,216,0,2090,1107,7,7,0,8,0,235,1107,228,484,204,60,70.6246105919003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,200000
8,6120,0,752,0,0,0,0.0,952,0,1774,952,8,8,0,9,0,90,1022,205,468,0,50,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129900
9,7420,0,0,851,0,0,0.0,140,0,1077,991,9,9,0,10,0,0,1077,0,205,4,190,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118000
10,11200,0,0,906,0,0,0.0,134,0,1040,1040,10,10,0,11,0,0,1040,0,384,0,20,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129500
11,11924,0,1142,998,0,0,286.0,177,0,2324,1175,11,11,0,12,0,147,1182,0,736,21,60,85.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345000
12,12968,0,0,737,0,0,0.0,175,0,912,912,12,12,0,13,176,140,912,0,352,0,20,62.54807692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144000
13,10652,0,0,0,0,0,306.0,1494,0,1494,1494,13,13,0,14,0,160,1494,0,840,33,20,91.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,279500
14,10920,0,0,733,0,0,212.0,520,0,1253,1253,14,14,0,15,0,0,1253,176,352,213,20,62.54807692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157000
15,6120,0,0,0,0,0,0.0,832,0,854,832,15,15,0,16,0,48,854,0,576,112,45,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132000
16,11241,700,0,578,0,0,180.0,426,0,1004,1004,16,16,0,17,0,0,1004,0,480,0,20,70.6246105919003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149000
17,10791,500,0,0,0,0,0.0,0,0,1296,0,17,17,0,18,0,0,1296,0,516,0,90,72.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000
18,13695,0,0,646,0,0,0.0,468,0,1114,1114,18,18,0,19,0,0,1114,0,576,102,20,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,159000
19,7560,0,0,504,0,0,0.0,525,0,1339,1029,19,19,0,20,0,0,1339,0,294,0,20,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139000
20,14215,0,1218,0,0,0,380.0,1158,0,2376,1158,20,20,0,21,0,240,1158,0,853,154,60,101.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,325300
21,7449,0,0,0,0,0,0.0,637,0,1108,637,21,21,0,22,0,0,1108,205,280,0,45,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139400
22,9742,0,0,0,0,0,281.0,1777,0,1795,1777,22,22,0,23,0,171,1795,0,534,159,20,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,230000
23,4224,0,0,840,0,0,0.0,200,0,1060,1040,23,23,0,24,0,100,1060,0,572,110,120,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129900
24,8246,0,0,188,0,668,0.0,204,0,1060,1060,24,24,0,25,0,406,1060,0,270,90,20,62.54807692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,154000
25,14230,0,0,0,0,0,640.0,1566,0,1600,1566,25,25,0,26,0,0,1600,0,890,56,20,110.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,256300
26,7200,0,0,234,0,486,0.0,180,0,900,900,26,26,0,27,0,222,900,0,576,32,20,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,134800
27,11478,0,0,1218,0,0,200.0,486,0,1704,1704,27,27,0,28,0,0,1704,0,772,50,20,98.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306000
28,16321,0,0,1277,0,0,0.0,207,0,1600,1484,28,28,0,29,0,288,1600,0,319,258,20,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207500
29,6324,0,0,0,0,0,0.0,520,0,520,520,29,29,0,30,0,49,520,87,240,0,30,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68500
